y1_statefips,y2_statefips,y2_state,y2_state_name,n1,n2,AGI,y2_state,y2_state_name
10,97,US,Total Migration-US,17226,27956,1317828,US,Total Migration-US
10,98,FO,Total Migration-Foreign,312,557,20278,FO,Total Migration-Foreign
10,97,US,Total Migration-US,4326,7567,283392,US,Total Migration-US
10,10,DE,Delaware,403901,777967,37188509,DE,Delaware
10,42,PA,Pennsylvania,3885,6237,294829,PA,Pennsylvania
10,24,MD,Maryland,2955,4909,193944,MD,Maryland
10,12,FL,Florida,1546,2618,169481,FL,Florida
10,34,NJ,New Jersey,1241,1971,92985,NJ,New Jersey
10,36,NY,New York,914,1346,64812,NY,New York
10,51,VA,Virginia,854,1415,67496,VA,Virginia
10,37,NC,North Carolina,710,1205,51778,NC,North Carolina
10,48,TX,Texas,686,1196,53845,TX,Texas
10,06,CA,California,475,720,46341,CA,California
10,13,GA,Georgia,408,681,23882,GA,Georgia
10,45,SC,South Carolina,356,599,29730,SC,South Carolina
10,57,,,312,557,20278,,
10,25,MA,Massachusetts,244,317,20107,MA,Massachusetts
10,08,CO,Colorado,210,315,16312,CO,Colorado
10,39,OH,Ohio,201,330,13056,OH,Ohio
10,47,TN,Tennessee,200,323,13413,TN,Tennessee
10,17,IL,Illinois,198,299,14272,IL,Illinois
10,04,AZ,Arizona,174,267,10455,AZ,Arizona
10,11,DC,District Of Columbia,167,203,15057,DC,District Of Columbia
10,53,WA,Washington,138,227,11947,WA,Washington
10,09,CT,Connecticut,131,210,10228,CT,Connecticut
10,18,IN,Indiana,124,214,8177,IN,Indiana
10,26,MI,Michigan,115,167,9645,MI,Michigan
10,54,WV,West Virginia,99,163,5027,WV,West Virginia
10,32,NV,Nevada,86,146,7327,NV,Nevada
10,01,AL,Alabama,74,135,5659,AL,Alabama
10,29,MO,Missouri,71,111,4378,MO,Missouri
10,40,OK,Oklahoma,68,139,3616,OK,Oklahoma
10,55,WI,Wisconsin,65,106,4787,WI,Wisconsin
10,21,KY,Kentucky,64,98,3395,KY,Kentucky
10,23,ME,Maine,62,106,4042,ME,Maine
10,49,UT,Utah,60,100,5537,UT,Utah
10,15,HI,Hawaii,58,104,4640,HI,Hawaii
10,33,NH,New Hampshire,53,85,4980,NH,New Hampshire
10,22,LA,Louisiana,53,89,3176,LA,Louisiana
10,27,MN,Minnesota,51,68,2935,MN,Minnesota
10,41,OR,Oregon,46,70,3074,OR,Oregon
10,05,AR,Arkansas,42,83,2987,AR,Arkansas
10,28,MS,Mississippi,41,85,2398,MS,Mississippi
10,19,IA,Iowa,37,55,2217,IA,Iowa
10,35,NM,New Mexico,36,53,1879,NM,New Mexico
10,44,RI,Rhode Island,34,59,2745,RI,Rhode Island
10,02,AK,Alaska,31,59,1766,AK,Alaska
10,30,MT,Montana,27,42,1519,MT,Montana
10,16,ID,Idaho,26,42,1149,ID,Idaho
10,20,KS,Kansas,24,38,1926,KS,Kansas
10,50,VT,Vermont,22,41,2039,VT,Vermont
10,38,ND,North Dakota,17,30,571,ND,North Dakota
10,31,NE,Nebraska,17,31,1072,NE,Nebraska
10,46,SD,South Dakota,16,22,963,SD,South Dakota
10,56,WY,Wyoming,14,27,231,WY,Wyoming
11,96,US+FO,Total Migration-US and Foreign,32142,45451,3767887,US+FO,Total Migration-US and Foreign
11,97,US,Total Migration-US,31175,43869,3652385,US,Total Migration-US
11,98,FO,Total Migration-Foreign,967,1582,115502,FO,Total Migration-Foreign
11,11,DC,District Of Columbia,268556,436527,37934858,DC,District Of Columbia
11,24,MD,Maryland,9213,15055,936201,MD,Maryland
11,51,VA,Virginia,6502,9007,872816,VA,Virginia
11,36,NY,New York,2586,2911,293510,NY,New York
11,06,CA,California,1789,2217,217251,CA,California
11,12,FL,Florida,1200,1645,213006,FL,Florida
11,57,,,967,1582,115502,,
11,48,TX,Texas,941,1298,113337,TX,Texas
11,42,PA,Pennsylvania,919,1135,97816,PA,Pennsylvania
11,37,NC,North Carolina,827,1120,87217,NC,North Carolina
11,25,MA,Massachusetts,818,1000,109077,MA,Massachusetts
11,17,IL,Illinois,636,751,65146,IL,Illinois
11,13,GA,Georgia,554,749,55345,GA,Georgia
